;SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;Score90;Score45;Score90Home;Score90Guest;Score45Home;Score45Guest;PointsHome;PointsGuest;Aborted;Annulled;League
179;1963;1964;22;Saturday;;;1. FC Köln;Eintracht Frankfurt;1:1;1:0;1;1;1;0;1;1;False;False;1. Bundesliga
180;1963;1964;22;Thursday;;;Hamburger SV;Werder Bremen;1:1;1:1;1;1;1;1;1;1;False;False;1. Bundesliga
181;1963;1964;22;Monday;;;Eintracht Braunschweig;Hertha BSC;1:1;1:1;1;1;1;1;1;1;False;False;1. Bundesliga
182;1963;1964;23;Saturday;;;Hertha BSC;Borussia Dortmund;0:0;0:0;0;0;0;0;1;1;False;False;1. Bundesliga
183;1963;1964;23;Saturday;;;Werder Bremen;Eintracht Braunschweig;2:3;0:2;2;3;0;2;2;0;False;False;1. Bundesliga
184;1963;1964;23;Saturday;;;1860 München;Hamburger SV;9:2;3:1;9;2;3;1;0;2;False;False;1. Bundesliga
185;1963;1964;23;Saturday;;;Preußen Münster;1. FC Köln;0:2;0:2;0;2;0;2;2;0;False;False;1. Bundesliga
186;1963;1964;23;Saturday;;;1. FC Saarbrücken;Meidericher SV;0:2;0:1;0;2;0;1;2;0;False;False;1. Bundesliga
187;1963;1964;23;Saturday;;;Karlsruher SC;1. FC Kaiserslautern;5:1;2:0;5;1;2;0;0;2;False;False;1. Bundesliga
188;1963;1964;23;Saturday;;;Eintracht Frankfurt;VfB Stuttgart;3:2;2:1;3;2;2;1;0;2;False;False;1. Bundesliga
189;1963;1964;23;Saturday;;;FC Schalke 04;1. FC Nürnberg;4:1;2:1;4;1;2;1;0;2;False;False;1. Bundesliga
190;1963;1964;24;Saturday;;;Eintracht Braunschweig;Hamburger SV;2:1;0:0;2;1;0;0;0;2;False;False;1. Bundesliga
191;1963;1964;24;Saturday;;;Meidericher SV;1. FC Köln;2:2;2:0;2;2;2;0;1;1;False;False;1. Bundesliga
192;1963;1964;24;Saturday;;;Borussia Dortmund;VfB Stuttgart;7:1;2:1;7;1;2;1;0;2;False;False;1. Bundesliga
193;1963;1964;24;Saturday;;;1. FC Kaiserslautern;1. FC Nürnberg;3:1;3:0;3;1;3;0;0;2;False;False;1. Bundesliga
194;1963;1964;24;Saturday;;;1860 München;Preußen Münster;3:1;0:1;3;1;0;1;0;2;False;False;1. Bundesliga
195;1963;1964;24;Saturday;;;Karlsruher SC;1. FC Saarbrücken;2:2;0:2;2;2;0;2;1;1;False;False;1. Bundesliga
